Time (s),X (m),Y (m),Z (m),Roll (deg),Pitch (deg),Yaw (deg)
0.0,0.065,0.014,0.0,0.376,1.574,0.492
0.1,0.053,-0.072,0.064,0.995,0.799,-0.63
0.2,-0.073,-0.048,0.013,0.58,1.128,-0.283
0.3,0.183,-0.103,0.081,1.143,1.46,-0.092
0.4,0.138,0.003,0.135,2.206,1.201,0.184
0.5,0.112,0.05,0.254,1.392,1.471,-0.01
0.6,-0.032,-0.022,0.39,0.823,1.728,-0.07
0.7,0.101,-0.008,0.442,0.959,1.201,0.245
0.8,0.148,-0.036,0.582,1.203,1.523,0.079
0.9,0.034,-0.082,0.601,0.537,1.118,0.299
1.0,0.044,-0.08,0.817,-0.157,1.798,0.517
1.1,0.031,-0.038,0.981,-0.649,1.618,0.591
1.2,0.124,0.018,1.084,-0.934,2.104,0.022
1.3,0.066,0.02,1.194,-0.174,1.905,0.279
1.4,0.068,0.115,1.433,-1.066,1.927,0.633
1.5,-0.016,0.105,1.569,-0.37,1.633,0.543
1.6,-0.022,0.177,1.807,0.412,1.249,0.462
1.7,0.199,0.134,1.878,-0.376,1.619,0.862
1.8,0.264,0.066,2.064,-0.13,1.637,0.797
1.9,0.22,0.107,2.229,0.291,1.124,0.953
2.0,0.284,-0.015,2.424,0.197,1.154,1.138
2.1,0.148,0.264,2.525,-1.128,1.362,0.899
2.2,0.209,0.098,2.831,-0.048,0.987,1.322
2.3,0.272,0.125,2.984,0.095,1.613,1.185
2.4,0.259,0.319,3.133,-0.289,2.046,1.272
2.5,0.433,0.101,3.314,-1.035,2.807,1.523
2.6,0.222,0.151,3.536,-0.095,2.376,0.94
2.7,0.307,0.206,3.72,0.012,1.629,0.998
2.8,0.355,0.178,3.881,0.074,1.326,1.197
2.9,0.357,0.245,4.082,-0.246,1.916,1.758
3.0,0.512,0.27,4.296,1.045,1.562,1.651
3.1,0.321,0.316,4.46,0.122,1.863,1.555
3.2,0.605,0.271,4.658,0.435,2.054,1.517
3.3,0.625,0.35,4.851,-0.998,2.208,1.44
3.4,0.612,0.28,5.052,-1.099,2.507,2.016
3.5,0.735,0.366,5.211,-0.277,1.403,2.025
3.6,0.846,0.418,5.424,-0.067,0.632,2.212
3.7,0.715,0.192,5.675,0.899,0.852,2.431
3.8,0.808,0.321,5.893,1.036,1.365,2.364
3.9,0.832,0.363,6.06,-0.005,1.779,2.718
4.0,0.897,0.209,6.122,-0.912,1.938,2.38
4.1,0.87,0.125,6.406,-0.932,2.234,2.947
4.2,0.913,0.399,6.681,0.182,2.564,2.782
4.3,1.079,0.327,6.933,0.567,2.644,2.648
4.4,1.046,0.447,7.115,0.816,2.333,2.922
4.5,1.217,0.391,7.26,0.092,1.154,3.526
4.6,1.265,0.398,7.454,-0.01,1.059,2.802
4.7,1.233,0.379,7.653,-0.487,1.308,3.071
4.8,1.368,0.422,7.941,0.008,1.376,3.23
4.9,1.415,0.349,8.083,0.084,0.95,3.495
5.0,1.475,0.39,8.239,-0.256,1.751,3.584
5.1,1.656,0.502,8.515,-0.246,1.602,4.132
5.2,1.651,0.427,8.713,0.324,1.088,3.725
5.3,1.75,0.499,8.802,0.072,2.205,4.032
5.4,1.661,0.469,9.058,0.056,2.356,3.838
5.5,1.95,0.455,9.324,-0.22,2.478,3.782
5.6,1.871,0.415,9.521,-0.399,2.106,4.114
5.7,2.043,0.573,9.636,-0.999,1.623,4.194
5.8,2.292,0.447,9.886,-1.078,1.573,4.52
5.9,2.4,0.547,10.123,-0.341,2.081,4.781
6.0,2.321,0.394,10.304,0.746,2.238,4.457
6.1,2.343,0.544,10.433,-0.122,1.077,4.948
6.2,2.57,0.558,10.632,-1.045,0.59,4.549
6.3,2.607,0.481,10.815,-0.677,1.869,5.333
6.4,2.767,0.404,10.944,0.457,2.556,4.661
6.5,2.733,0.521,11.008,0.688,2.385,5.015
6.6,3.03,0.543,11.248,-0.363,1.915,5.316
6.7,3.164,0.492,11.264,-1.199,2.143,5.29
6.8,3.027,0.475,11.285,-0.316,1.638,5.239
6.9,3.182,0.594,11.412,-0.138,1.231,5.815
7.0,3.296,0.507,11.39,0.563,1.298,5.521
7.1,3.519,0.477,11.536,-0.123,0.887,6.115
7.2,3.415,0.572,11.621,-0.367,0.172,5.64
7.3,3.71,0.498,11.771,-0.214,0.718,6.364
7.4,3.804,0.434,11.733,0.42,1.807,6.42
7.5,3.891,0.55,11.785,-0.026,2.009,6.465
7.6,4.147,0.441,11.841,0.414,1.451,6.723
7.7,4.076,0.532,11.858,-0.187,2.229,6.544
7.8,4.265,0.396,11.862,-0.493,2.324,6.695
7.9,4.453,0.464,11.974,0.353,1.757,7.102
8.0,4.718,0.524,11.973,1.011,1.49,6.683
8.1,4.784,0.452,12.043,0.681,2.09,6.991
8.2,4.898,0.447,12.049,-0.803,1.908,7.127
8.3,5.156,0.432,11.994,-0.879,2.782,7.246
8.4,5.232,0.447,12.032,-0.184,2.131,7.344
8.5,5.373,0.369,12.052,1.044,1.553,6.93
8.6,5.555,0.383,12.071,1.795,1.961,7.636
8.7,5.766,0.318,12.118,-0.452,0.937,7.821
8.8,6.118,0.477,12.107,-0.359,1.602,8.17
8.9,5.983,0.241,12.095,-0.12,1.624,8.176
9.0,6.261,0.361,12.193,0.705,2.318,7.953
9.1,6.397,0.205,12.199,-0.388,1.382,8.138
9.2,6.559,0.311,12.157,-0.541,2.485,8.086
9.3,6.873,0.358,12.125,-0.293,1.943,8.327
9.4,6.982,0.15,12.155,0.063,2.328,8.376
9.5,7.144,0.361,12.16,-0.667,1.885,8.893
9.6,7.229,0.126,12.162,-0.487,1.925,8.827
9.7,7.375,0.12,12.169,0.083,2.139,8.983
9.8,7.643,0.193,12.225,0.065,2.961,8.852
9.9,7.771,0.062,12.235,0.92,3.106,9.009
10.0,7.921,0.211,12.248,0.221,2.099,9.279
10.1,8.194,0.159,12.202,-0.55,2.0,9.063
10.2,8.218,-0.112,12.257,0.354,2.815,9.478
10.3,8.427,-0.024,12.33,0.574,1.749,9.658
10.4,8.72,0.019,12.268,0.562,1.738,9.398
10.5,8.821,0.096,12.249,0.502,1.569,9.624
10.6,9.056,-0.031,12.378,-0.18,1.532,9.502
10.7,9.109,-0.013,12.29,0.103,1.972,10.19
10.8,9.412,0.087,12.259,-0.651,2.091,9.975
10.9,9.477,-0.049,12.324,-0.639,1.984,10.222
11.0,9.818,0.042,12.268,0.918,1.494,10.005
11.1,9.95,-0.097,12.289,1.07,1.624,9.97
11.2,10.102,0.087,12.35,0.824,2.199,10.295
11.3,10.368,0.118,12.293,-0.369,2.776,10.8
11.4,10.45,-0.086,12.264,-0.558,2.442,11.016
11.5,10.548,-0.185,12.356,-1.705,1.691,10.973
11.6,10.898,-0.139,12.366,-1.089,2.467,10.947
11.7,10.977,0.062,12.284,-0.253,1.798,11.227
11.8,11.22,-0.064,12.328,0.148,1.99,11.582
11.9,11.312,0.053,12.389,-0.726,1.964,11.248
12.0,11.569,-0.147,12.361,0.688,2.218,11.898
12.1,11.581,-0.127,12.387,2.047,1.753,11.671
12.2,11.724,-0.068,12.353,1.722,2.187,12.125
12.3,11.888,0.027,12.334,0.882,1.89,12.441
12.4,12.236,-0.072,12.34,0.971,2.565,12.536
12.5,12.195,-0.13,12.352,2.162,2.114,12.704
12.6,12.388,-0.012,12.372,0.971,1.447,13.207
12.7,12.595,-0.013,12.26,-0.431,1.76,13.011
12.8,12.907,0.036,12.293,-0.672,2.399,13.245
12.9,13.104,-0.003,12.372,-0.178,2.674,13.326
